Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Bathrooms,SF
1044,527451290,160,RM,21.0,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,GasA,TA,Y,SBrkr,0,987,2,1,TA,4,Typ,0,NA,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2008,COD,85400,2.0,1470.0
2752,906380150,20,RL,64.0,7488,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,GasA,Ex,Y,SBrkr,0,1208,2,1,Gd,6,Typ,0,NA,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,NA,NA,NA,0,2,2006,WD ,183600,2.0,2416.0
807,906226060,70,RL,120.0,26400,Pave,NA,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,NA,0.0,0.0,GasA,Ex,Y,SBrkr,0,2016,4,1,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,NA,NA,NA,0,6,2009,WD ,131000,1.0,2016.0
1177,533236070,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,GasA,Ex,Y,SBrkr,0,1607,3,1,Gd,7,Typ,0,NA,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,NA,NA,NA,0,12,2008,ConLD,200000,4.0,2567.0
1480,907418040,20,RL,74.0,9627,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,GasA,Ex,Y,SBrkr,0,1361,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,6,2008,WD ,193000,2.0,2712.0
324,923202105,20,RL,93.0,10114,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,GasA,Ex,Y,SBrkr,0,1430,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD ,173500,2.0,2860.0
1311,902301140,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,GasA,Fa,N,SBrkr,0,1344,4,1,TA,7,Typ,0,NA,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,NA,NA,NA,0,5,2008,COD,98000,1.0,1968.0
770,905101490,20,RL,80.0,8816,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,GasA,TA,Y,SBrkr,0,1121,3,1,TA,5,Typ,0,NA,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,NA,MnPrv,NA,0,6,2009,WD ,139000,2.0,2242.0
2063,905107140,20,RL,71.0,8197,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,GasA,Ex,Y,SBrkr,0,1285,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,NA,MnPrv,NA,0,4,2007,WD ,143500,2.0,1945.0
69,528458070,60,FV,72.0,8640,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,GasA,Ex,Y,SBrkr,0,1547,3,1,Gd,7,Typ,0,NA,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,NA,NA,NA,0,6,2010,Con,215200,3.0,2303.0
2062,905106150,20,RL,109.0,8724,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,GasA,Gd,Y,SBrkr,0,894,3,1,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD ,129000,1.0,1788.0
351,527131030,120,RL,40.0,5664,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,GasA,Ex,Y,SBrkr,0,1659,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,NA,NA,NA,0,10,2009,WD ,278000,3.0,3160.0
2393,528142010,60,RL,103.0,12867,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,GasA,Ex,Y,SBrkr,0,2253,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,NA,NA,NA,0,7,2006,New,344133,3.0,3462.0
12,527165230,20,RL,69.05520046484602,7980,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,GasA,Ex,Y,SBrkr,0,1187,3,1,TA,6,Typ,0,NA,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,NA,GdPrv,Shed,500,3,2010,WD ,185000,3.0,2355.0
2339,527250040,190,RL,100.0,34650,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,GasA,TA,N,SBrkr,0,1056,3,1,TA,5,Typ,0,NA,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,NA,NA,NA,0,1,2006,WD ,145000,2.0,2112.0
624,535104120,20,RL,92.0,10573,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,GasA,Ex,Y,SBrkr,0,1453,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,NA,GdPrv,NA,0,4,2009,WD ,187500,3.0,2906.0
86,532376160,20,RL,65.0,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,GasA,Ex,Y,SBrkr,0,894,3,1,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,NA,MnPrv,NA,0,4,2010,WD ,138500,2.0,1788.0
1534,909277040,50,RL,69.05520046484602,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,GasA,Ex,Y,SBrkr,0,1938,4,1,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,NA,NA,NA,0,7,2008,WD ,198000,2.0,2880.0
2243,911103060,190,C (all),75.0,8250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,GasA,Fa,N,SBrkr,0,1991,4,2,TA,9,Typ,0,NA,NA,NA,0.0,0.0,NA,NA,N,0,0,133,0,0,0,NA,NA,NA,0,6,2007,WD ,119600,2.0,2948.0
1957,535450190,50,RL,60.0,8064,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,GasA,Ex,Y,SBrkr,0,924,3,1,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,Shed,2000,7,2007,WD ,122900,1.0,1596.0
380,527355150,20,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,GasA,TA,Y,SBrkr,0,2524,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,NA,MnPrv,NA,0,7,2009,WD ,278000,4.0,5048.0
2860,909276010,70,RL,69.05520046484602,11435,Pave,NA,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,GasA,Fa,Y,SBrkr,0,1517,3,1,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD ,230000,1.0,2309.0
2517,533250130,120,RL,30.0,9549,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,GasA,Ex,Y,SBrkr,0,1494,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,NA,NA,NA,0,4,2006,WD ,270000,3.0,2988.0
1933,535302070,20,RL,60.0,10950,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,GasA,TA,Y,SBrkr,0,948,2,1,TA,5,Typ,0,NA,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,NA,NA,NA,0,4,2007,WD ,125000,1.0,1896.0
820,906340110,20,RL,79.0,10637,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,GasA,Ex,Y,SBrkr,0,1718,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,NA,NA,NA,0,9,2009,WD ,297000,3.0,3423.0
675,535426150,20,RL,80.0,9000,Pave,NA,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,GasA,Fa,Y,SBrkr,0,1142,2,1,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,NA,NA,NA,0,4,2009,WD ,113500,1.0,1302.0
2910,923225240,160,RM,41.0,2665,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,GasA,Ex,Y,SBrkr,0,1475,4,1,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,NA,NA,NA,0,7,2006,WD ,127000,2.0,2232.0
21,527358140,20,RL,105.0,11751,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,GasA,Ex,Y,SBrkr,0,1844,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,NA,MnPrv,NA,0,1,2010,COD,190000,2.0,3688.0
1873,534177210,20,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,GasA,Fa,Y,SBrkr,0,1242,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2007,WD ,175500,2.0,2484.0
2125,907135050,20,RL,60.0,8428,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,GasA,Ex,Y,SBrkr,0,990,3,1,TA,5,Typ,0,NA,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,0,NA,NA,NA,0,7,2007,WD ,146000,2.0,1980.0
1489,908102260,20,RL,75.0,9937,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,GasA,Gd,Y,SBrkr,0,1256,3,1,TA,6,Typ,0,NA,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,0,NA,NA,NA,0,6,2008,WD ,147500,3.0,2512.0
983,923275040,85,RL,69.05520046484602,9101,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,GasA,Ex,Y,SBrkr,0,1110,1,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,NA,NA,NA,0,7,2009,WD ,165500,2.0,2207.0
1325,902406090,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,GasA,Ex,N,FuseF,0,1795,4,1,TA,7,Typ,0,NA,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD ,131500,2.0,2845.0
1378,905102170,20,RL,70.0,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,GasA,Ex,Y,SBrkr,0,1040,3,1,TA,5,Typ,0,NA,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD ,129500,2.0,2080.0
1537,909281110,70,RL,100.0,9670,Pave,NA,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,GasA,TA,Y,SBrkr,0,1873,4,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,NA,NA,NA,0,6,2008,WD ,257076,2.0,2481.0
905,909101140,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,GasA,Ex,Y,SBrkr,0,1604,3,1,TA,6,Min2,0,NA,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,0,NA,NA,NA,0,7,2009,WD ,117000,2.0,2588.0
1532,909275050,70,RL,60.0,7200,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,GasA,TA,Y,SBrkr,0,1502,3,1,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,112,0,0,0,NA,MnPrv,NA,0,2,2008,WD ,149000,2.0,2278.0
132,534475100,20,RL,80.0,9920,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,290.0,412.0,GasA,TA,Y,SBrkr,0,1063,3,1,TA,6,Typ,0,NA,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,164,0,0,0,NA,MnPrv,NA,0,2,2010,WD ,128000,2.0,2119.0
1078,528188090,160,RL,36.0,2448,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,764.0,GasA,Ex,Y,SBrkr,0,1626,2,1,Gd,6,Typ,0,NA,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,0,0,0,0,NA,NA,NA,0,10,2008,WD ,155000,3.0,2390.0
